date_start,date_end,event
2000-06-02,,"Президент украины л. кучма «категорически запретил несанкционированный отбор газа из транзитной трубы и его выделение неплатёжеспособным потребителям до юридического урегулирования вопроса долга с российской стороной» — то есть официально признал неконтролируемые хищения газа, которые до этого отрицались."
2000-06-06,,Президентом венгрии избран ференц мадл.
2000-06-07,,"Вторая чеченская война: в селе Алхан-Юрт (Чечня) двое террористов-смертников взорвали гружённый взрывчаткой грузовик вблизи здания милиции. Одной из смертниц была родственница Мовсара Бараева, позднее захватившего в 2002 здание театрального центра на Дубровке (Москва). Погибли двое милиционеров, пятеро были ранены"
2000-06-07,,"Убит Любиша Савич, бывший командир Первой биелинской легкопехотной гвардейской бригады «пантеры» республики Сербской."
2000-06-10,,"Президент сирии хафез асад скончался от сердечного приступа, спустя месяц преемником стал его сын башар асад."
2000-06-12,,Главой администрации Чеченской Республики назначен Ахмат Кадыров;
2000-06-12,,"Захват заложников в автобусе в Рио-де-Жанейро. Преступление имело огромный резонанс, поскольку произошло в присутствии большого числа свидетелей и представителей прессы (велась трансляция в прямом эфире), а также ввиду крайне неудачных действий полиции."
2000-06-13,,"В москве генеральной прокуратурой рф как подозреваемый в мошенничестве задержан владимир гусинский. по утверждению гусинского (косвенного подтверждённому решением еспч), он был выпущен в обмен на подписание некого документа («протокол № 6») с министром печати михаилом лесиным. по этому соглашению гусинский должен был продать свой холдинг «медиа-мост» оао «газпром» по установленной последним цене. «медиа-мост» отказался подчиниться соглашению."
2000-06-14,,Грузия вступила в вто.
2000-06-16,,"Достижение соглашения между КНДР и Южной Кореей, согласно которому последняя обязалась оказать помощь первой в сумме 6 млрд евро;"
2000-06-16,,"Приземление космического корабля «Союз ТМ-30». Экипаж посадки — С. В. Залётин, А. Ю. Калери."
2000-06-17,,"Около 10 часов утра по лондонскому времени вышел из строя главный компьютер национальной авиадиспетчерской службы, находящейся неподалёку от аэропорта хитроу. в результате на территории великобритании остановлено воздушное сообщение."
2000-06-18,,На выборах в национальное собрание нагорного карабаха победила демократическая партия арцаха.
2000-06-21,,"Парламент шотландии отменил статью 28 закона о местном самоуправлении, вступившего в силу 24 мая 1988 года и запрещавшего «пропаганду гомосексуализма». на остальных территориях великобритании статья была отменена почти через три с половиной года."
