date_start,date_end,event
2011-06-03,,"Взрывы на военном складе в селе Пугачёво (Удмуртия, Россия). Пострадало около 3000 домов и квартир, госпитализированы 48 человек."
2011-06-03,,Выборы президента Латвии. Новым президентом избран Андрис Берзиньш.
2011-06-05,,Досрочные парламентские выборы в Португалии. Победила оппозиционная Социал-демократическая партия. Премьер-министр Жозе Сократеш подал в отставку.
2011-06-05,,В Перу прошёл второй тур президентских выборов. Победил левый кандидат Ольянта Умала.
2011-06-06,,В россии указом президента дмитрия медведева учреждён день русского языка.
2011-06-07,2011-06-09,"7-й Всемирный исламский экономический форум (Астана, Казахстан)."
2011-06-08,,В Беларуси начались акции «молчаливого» протеста.
2011-06-08,,"Роскосмос запустил с космодрома Байконур Союз ТМА-02М. Экипаж старта — Сергей Волков, Майкл Фоссум (США) и Сатоси Фурукава (Япония)."
2011-06-08,,Тестирование готовности интернета к переходу с сетевого протокола IPv4 на IPv6.
2011-06-08,,"Европарламент проголосовал за вхождение Румынии и Болгарии в Шенгенскую зону, но Нидерланды заблокировали это решение, отложив рассмотрение до 2012 года."
2011-06-09,2011-06-10,"двусторонний саммит Россия — Евросоюз (Нижний Новгород, Россия)."
2011-06-12,,Парламентские выборы в Турции. Победу одержала правящая Партия справедливости и развития.
2011-06-12,,Король Испании Хуан Карлос I удостоен Государственной премии Российской Федерации.
2011-06-12,,Беларусь ограничила вывоз ряда товаров за границы республики.
2011-06-14,2011-07-02,"XIV Международный конкурс имени П. И. Чайковского (Москва, Россия)."
2011-06-15,,"В Астане открылся юбилейный саммит ШОС, приуроченный к 10-летию Организации."
2011-06-15,,Албания отменила визовый режим для граждан Украины.
2011-06-16,2011-06-18,Петербургский международный экономический форум.
2011-06-20,,"Под петрозаводском разбился пассажирский самолёт ту-134. 47 человек погибли, 5 выжили."
2011-06-20,2011-06-26,международный Парижский авиасалон Ле Бурже.
2011-06-21,,Вступило в силу соглашение о безвизовых поездках между россией и перу.
2011-06-22,,В минске милиция разогнала акцию «молчаливого» протеста.
2011-06-23,2011-07-02,"33-й Московский международный кинофестиваль (Москва, Россия)."
2011-06-25,,"Xxii всероссийский олимпийский день, посвящённый 100-летию создания российского олимпийского комитета."
2011-06-26,,Премьер-министром вануату снова стал сато килман.
2011-06-28,,Казахстан стал председателем организации исламская конференция.
2011-07-01,,Польша стала государством-председателем Совета Европейского союза.
2011-07-01,,"Таможенный союз Беларуси, Казахстана и России открыл внутренние границы."
2011-07-01,2011-07-05,"II Международный кинофестиваль экшн-фильмов «Astana» (Астана, Казахстан)."
2011-07-03,,"На парламентских выборах в Таиланде победу одержала оппозиционная партия Пхыа Тхаи во главе с премьер-министром Йинглак Чиннават, сестрой бывшего премьера Таксин Чиннавата."
2011-07-03,,Женская сборная России по баскетболу одержала победу на чемпионате Европы в Польше.
2011-07-05,,Международный валютный фонд возглавила бывший министр финансов Франции Кристин Лагард.
2011-07-05,,"Парламент Грузии принял Акт об экономической свободе, фиксировавший экономические достижения реформ."
2011-07-06,,Столицей зимних олимпийских игр 2018 года объявлен южнокорейский город пхёнчхан.
2011-07-07,,Парламент Украины принял решение о повышении пенсионного возраста с 1 января 2012 года для женщин с 55 до 60 лет и для мужчин — государственных служащих с 60 до 62 лет.
2011-07-07,,Пожар на военном складе в Абадане (Туркменистан).
2011-07-08,,"135-й старт (STS-135) по программе Спейс Шаттл. 33-й полёт шаттла Атлантис. Экипаж — Кристофер Фергюсон, Даглас Хёрли, Сандра Магнус, Рекс Уолхайм. Продолжение строительства Международной космической станции. Этот старт шаттла Атлантис — последний по программе Спейс Шаттл. Посадка 21 июля 2011 года."
2011-07-08,,"Авиакатастрофа пассажирского самолёта Boeing-727 в Демократической Республике Конго. Погибли 127 человек, 51 удалось спасти."
2011-07-09,,Южный судан стал независимым государством со столицей в джубе.
2011-07-10,,"На Волге затонул теплоход «Булгария». Погибли 122 человека, спасено 79 человек."
2011-07-10,,"По меньшей мере, 35 человек погибли, 150 — получили ранения в результате схода с рельсов 14 вагонов железнодорожного экспресса маршрутом Хаора — Калка в округе Фатехпур северного индийского штата Уттар-Прадеш."
2011-07-11,,"В томской области на обь совершил аварийную посадку самолёт ан-24, 7 человек погибли."
2011-07-12,,Нептун сделал ровно один оборот с момента его открытия.
2011-07-14,,Южный Судан принят в члены ООН в качестве 193-го члена.
2011-07-14,,В Лондоне открыт памятник Юрию Гагарину.
2011-07-16,,С космодрома байконур произведён запуск второго казахстанского космического спутника казсат-2.
2011-07-16,2011-07-31,"чемпионат мира по водным видам спорта (Шанхай, Китай)."
2011-07-18,,Роскосмос запустил с космодрома байконур космическую обсерваторию «радиоастрон».
2011-07-21,,"На мысе канаверал (сша) совершил посадку последний космический челнок «атлантис», завершив 30-летнюю программу «спейс шаттл»."
2011-07-22,,"Теракты в норвегии. в результате взрыва в осло около здания норвежского правительства 8 человек погибли, десятки ранены. в результате нападения на молодёжный лагерь на острове утёйа погибли 68 и десятки получили ранения."
2011-07-23,,"В Латвии прошёл референдум о досрочном роспуске парламента. 94,3 % участников референдума выразили недоверие парламенту."
2011-07-23,,Скончалась британская певица Эми Уайнхаус.
2011-07-23,,"43 человека погибли, 211 — ранены в результате падения двух вагонов скоростного пассажирского экспресса с 30-метрового моста в городе Вэньчжоу восточной китайской провинции Чжэцзян."
2011-07-24,2011-07-30,"XVIII Международный ботанический конгресс (Мельбурн, Австралия)."
2011-07-24,,Япония перешла с аналогового телевидения на цифровое.
2011-07-26,,"В марокко разбился военно-транспортный самолёт lockheed c-130 hercules ввс марокко, погибли 78 человек, трое ранены."
2011-07-26,2011-08-01,"10-й конкурс молодых исполнителей популярной музыки «Новая волна» (Юрмала, Латвия)."
2011-08-05,,Наса запустило автоматической межпланетной станции «юнона» для исследования юпитера.
2011-08-06,,Начало массовых беспорядков в великобритании.
2011-08-12,2011-08-23,"XXVI летняя универсиада (Шэньчжэнь, Китай). Победу одержали хозяева — сборная Китая."
2011-08-16,2011-08-21,"X Международный авиационно-космический салон МАКС-2011 (Жуковский, Россия)."
2011-08-19,,Выборы в сенат казахстана (верхняя палата парламента).
2011-08-20,2011-08-28,"VII международный фестиваль короткометражного кино и анимации Open Cinema-2011 (Санкт-Петербург, Россия)."
2011-08-26,,Внеочередные выборы президента абхазии. победу одержал александр анкваб.
2011-08-27,2011-09-04,"чемпионат мира по лёгкой атлетике (Тэгу, Республика Корея). Первое место в пятый раз подряд с 2003 года заняла сборная США."
2011-08-29,,Парламент эстонии избрал на второй срок действующего президента страны тоомаса хендрика ильвеса.
2011-08-30,,"Министр финансов ёсихико нода, лидер правящей демократической партии, избран премьер-министром японии."
2011-08-31,,Канада перешла на цифровое телевизионное вещание.
2011-08-31,2011-09-10,68-й Венецианский кинофестиваль. Приз «Золотой лев» получил фильм Александра Сокурова «Фауст».
2011-09-02,,"21 человек погиб в авиакатастрофе самолёта casa 212, принадлежащего ввс чили, вблизи островов хуан-фернандес."
2011-09-03,,В душанбе (таджикистан) прошёл саммит глав государств снг.
2011-09-06,,"Состоялось назначение трёх новых полпредов президента РФ: Олега Говоруна в ЦФО, Николая Винниченко в СЗФО, Евгения Куйвашева в УФО."
2011-09-06,,Состоялась торжественная церемония начала введения в эксплуатацию первой нитки газопровода «Северный поток».
2011-09-07,,"Под ярославлем разбился самолёт як-42 с хоккейной командой «локомотив». погибли 44 человека, 1 выжил."
2011-09-08,2011-09-11,чемпионат мира по ралли (Австралия).
2011-09-09,2011-10-23,"седьмой чемпионат мира по регби (Окленд, Новая Зеландия). Победу одержала сборная Новой Зеландии."
2011-09-10,,Массовые беспорядки в Египте. Было совершено нападение на израильское посольство.
2011-09-10,,Крушение парома в районе Занзибара. Погибли 192 человека.
2011-09-11,,Открытие мемориала 11 сентября
2011-09-14,,В республике беларусь отменены ограничения по курсообразованию национальной валюты.
2011-09-15,,На парламентских выборах в дании победили партии «красного блока». премьер-министром страны впервые стала женщина — хелле торнинг-шмитт.
2011-09-16,,"Приземление космического корабля союз тма-21. экипаж посадки — андрей борисенко, александр самокутяев и рональд гаран (сша)."
2011-09-17,,Внеочередные выборы сейма латвии. победила партия «центр согласия».
2011-09-19,2011-09-25,"XXXI чемпионат мира по художественной гимнастике (Монпелье, Франция). Победу одержала сборная России."
2011-09-25,,Женщинам саудовской аравии предоставлены избирательные права.
2011-09-26,2011-10-08,"16-й чемпионат мира по боксу (Баку, Азербайджан). Победу одержала сборная Украины."
2011-09-29,,"В китае запущена космическая лаборатория «тяньгун-1» — первый модуль, необходимый для строительства будущей китайской космической станции."
2011-09-29,,Без точных дат
2011-09-29,,"VIII Форум межрегионального сотрудничества Казахстана и России (Астрахань, Россия)."
2011-10-08,2011-10-16,"XLIII чемпионат мира по спортивной гимнастике (Токио, Япония). Первое общекомандное место заняла сборная Китая."
2011-10-09,,Парламентские выборы в Польше. Победу одержала правящая партия «Гражданская платформа» во главе с премьер-министром Дональдом Туском.
2011-10-09,,Поль Бийя переизбран на пост президента Камеруна на шестой срок
2011-10-11,,Запущен сайт duolingo
2011-10-11,2011-10-16,"чемпионат мира по фехтованию (Катания, Италия). Первое общекомандное место заняла сборная Италии."
2011-10-12,2011-10-27,55-й Лондонский кинофестиваль.
2011-10-21,,Впервые с космодрома куру (французская гвиана) стартовала российская ракета-носитель союз-стб.
2011-10-23,,Первый тур президентских выборов в Болгарии.
2011-10-23,,"Разрушительное землетрясение магнитудой 7,2, произошедшее на востоке Турции, привело к гибели, по меньшей мере, 600 человек."
2011-10-23,,Выборы президента Аргентины. Победу одержала действующий президент Кристина Фернандес де Киршнер.
2011-10-23,,Первые свободные выборы в Национальный учредительный совет Туниса. Победу одержала исламистская Партия возрождения.
2011-10-27,,Выборы президента ирландии. победу одержал майкл хиггинс.
2011-10-28,,В москве открылся после реконструкции большой театр.
2011-10-30,,Президентские выборы в Кыргызстане. Победу одержал Алмазбек Атамбаев.
2011-10-30,,Второй тур президентских выборов в Болгарии. Победу одержал Росен Плевнелиев.
2011-10-31,,"Согласно расчётам Фонда народонаселения ООН, на Земле родился семимиллиардный житель."
2011-10-31,,Государство Палестина стало членом ЮНЕСКО.
2011-11-01,,Старт шэньчжоу-8 (китай). экипаж — беспилотный. проведено 2 стыковки в автоматическом режиме с орбитальной станцией тяньгун-1. посадка 17 ноября.
2011-11-03,2011-11-04,"6-й саммит Группы двадцати (Канны, Франция)."
2011-11-04,,"Города ковров, ломоносов, таганрог и петропавловск-камчатский удостоены почётного звания город воинской славы."
