date_start,date_end,event
2000-05-13,,"На складе фейерверков в энсхеде (нидерланды) произошёл взрыв, погибли 23 человека."
2000-05-14,,На выборах губернатора санкт-петербурга владимир яковлев переизбран на второй срок
2000-05-14,,В эфиопии прошёл первый тур всеобщих (многопартийных) выборов.
2000-05-15,,В результате бомбардировки авиацией сша и великобритании объектов на севере ирака получили ранения 9 человек
2000-05-15,,Завершила работу миссия наблюдателей оон в таджикистане.
2000-05-16,,В сша испытано новое лекарство от алкоголизма
2000-05-16,,Ахмет сезер вступил в должность президента турции
2000-05-16,,Иполито мехия избран президентом доминиканской республики.
2000-05-17,,Михаил касьянов утверждён в должности премьер-министра россии.
2000-05-18,,"При очередной бомбардировке авиацией сша и британии южных районов ирака погиб 1 человек, 4 ранены."
2000-05-19,,"98-й старт по программе «спейс шаттл» (миссия sts-101, шаттл «атлантис») для полёта к мкс."
2000-05-20,,"Указом президента рф утверждены основные направления налоговой реформы (снижение налогового бремени, упрощение системы и улучшение администрирования)."
2000-05-21,,На референдуме в швейцарии большинство жителей проголосовали за расширение сотрудничества с европейским союзом.
2000-05-24,,"Госдума рф приняла поправку, запрещающую пропаганду наркотиков"
2000-05-24,,"Израиль завершил вывод своих войск из южного ливана, выполнив резолюцию № 425 сб оон (1978 г.)."
2000-05-25,,Завершён вооружённый пограничный конфликт между эфиопией и эритреей
2000-05-25,,"На всеобщих выборах в суринаме победили действующий президент рональд венетиан (47,5% голосов) и его коалиция «новый фронт за демократию и развитие»."
2000-05-26,,Парламент кыргызстана проголосовал за переименование страны: новое официальное название — «кыргызская республика».
2000-05-27,,Министерство связи туркменистана отозвало лицензии всех частных интернет-провайдеров
2000-05-27,,"В китае католический священник приговорён к 6 годам тюрьмы за нелегальное издание библии и религиозных книг (в кнр декларируется свобода вероисповедания, но разрешены только государственные церкви)."
2000-05-28,,"Альберто фухимори переизбран президентом перу. оппозиция не признала итоги и устроила многотысячные марши протеста, жестоко подавленные полицией (сотни людей ранены и арестованы)."
2000-05-30,,"Президент кыргызстана аскар акаев подписал закон, придающий русскому языку статус официального."
2000-05-31,,"В волгограде при прохождении колонны военнослужащих произошёл взрыв самодельной фугасной бомбы: 1 человек погиб, 15 получили ранения."
2000-06-02,,"Президент украины л. кучма запретил несанкционированный отбор транзитного газа (фактически признав неконтролируемые хищения, которые ранее отрицались)."
2000-06-06,,Президентом венгрии парламент избрал ференца мадла.
2000-06-07,,"Вторая чеченская война: двое смертников взорвали заминированный грузовик возле отдела милиции в селе алхан-юрт (чечня) - погибли 2 милиционера, 5 ранены"
2000-06-07,,В республике сербской убит бывший командир спецподразделения «пантеры» любиша савич.
2000-06-10,,Скончался президент сирии хафез асад. спустя месяц его пост занял сын башар асад.
2000-06-12,,Ахмат кадыров назначен главой администрации чеченской республики
2000-06-12,,В рио-де-жанейро преступник захватил автобус с пассажирами.
2000-06-13,,В москве по обвинению в мошенничестве арестован медиамагнат владимир гусинский
2000-06-13,,"По утверждению гусинского, его освободили в обмен на согласие продать свой холдинг «медиа-мост» структурам «газпрома» («протокол № 6» с министром печати м. лесиным. сделка впоследствии сорвалась)."
2000-06-14,,Грузия вступила во всемирную торговую организацию (вто).
2000-06-16,,На межкорейском саммите кндр и южная корея достигли соглашение о предоставлении северу помощи на 6 млрд евро
2000-06-16,,"Возвращающийся аппарат корабля «союз тм-30» успешно приземлился (экипаж — с. залётин, а. калери)."
2000-06-17,,"Около 10:00 по лондонскому времени вышел из строя главный компьютер национальной службы управления воздушным движением великобритании, что остановило авиасообщение над всей страной."
2000-06-18,,На выборах в национальное собрание нагорного карабаха победила демократическая партия арцаха.
2000-06-21,,"Парламент шотландии отменил скандальную статью 28 закона о местном самоуправлении 1988 г. (запрещала «пропаганду гомосексуализма». в остальной великобритании её отменили спустя 3,5 года)."
2000-06-23,,"Принята директива ес 2000/36, регламентирующая требования к содержанию какао-продуктов и шоколада (т. н. «шоколадная директива»)."
2000-06-29,,"Близ острова сулавеси затонул индонезийский паром «кахая бахари», погибло 492 человека"
2000-06-29,,В уганде прошёл референдум о переходе к многопартийной политической системе.
2000-07-01,,В сша разрешено заверять финансовые документы электронной цифровой подписью
2000-07-01,,Открыт эресуннский мост-тоннель между швецией и данией.
2000-07-02,,Вторая чеченская война: серия терактов с заминированными грузовиками унесла жизни более 30 милиционеров и военнослужащих федеральных сил
2000-07-02,,На досрочных выборах губернатора самарской области победил константин титов
