date_start,date_end,event
2006-08-20,,В результате бандитского нападения ранен посол российской федерации в кении валерий егошкин.
2006-08-21,,Взрыв на черкизовском рынке в москве.
2006-08-22,,"В 10 км юго-западнее торецка (донецкая область, украина) потерпел крушение рейс 612 пулковских авиалиний, следовавший из анапы в санкт-петербург."
2006-08-24,,С Плутона сняли статус девятой планеты Солнечной системы и присвоили статус карликовой планеты.
2006-08-24,,Иран официально отказался от предложений международных посредников остановить программу обогащения урана в обмен на экономические льготы.
2006-08-27,,"В лексингтоне (кентукки) при взлёте разбился самолёт bombardier crj-100er компании comair, погибли 49 человек."
2006-08-01,2006-09-30,массовые беспорядки в Кондопоге (Россия).
2006-09-01,,"В аэропорту мешхеда произошла катастрофа самолёта ту-154м компании iran air tours, погибли 28 человек."
2006-09-05,,"Трое арестантов, вооружённые обрезками арматуры, ворвались в кабинет руководства сизо на капотне и взяли в заложники начальника следственного изолятора и 14 сотрудников учреждения. главным требованием захватчиков был пересмотр их уголовных дел: двое нападавших были осуждены на 25 лет за убийство, ещё один — на 9 лет за разбой."
2006-09-06,,"При нахождении на полигоне в баренцевом море с 505-м экипажем на борту, на атомной подлодке северного флота «даниил московский» возник пожар в электромеханическом отсеке. сработала аварийная защита, реакторы остановились, мичман шабанов и матрос контрактной службы этюев, первыми вступившие в борьбу с огнём, получили смертельное отравление угарным газом. их эвакуировали на подошедшее спасательное судно, но спасти уже не смогли. пожар был ликвидирован и лодка при помощи надводных судов была отбуксирована на базу в видяево."
2006-09-09,,"116-й старт (sts-115) по программе спейс шаттл. 27-й полёт шаттла атлантис. экипаж — джетт брент, кристофер фергюсон, джозеф таннер, дэниел бёрбэнк, хайдемари стефанишин-пайпер, стивен маклейн (канада)."
2006-09-12,2006-09-13,"II Съезд лидеров мировых и традиционных религий (Астана, Казахстан)."
2006-09-18,,"Старт союз тма-9 с четырнадцатой экспедицией мкс. экипаж старта — м. в. тюрин, м. лопес-алегриа (испания-сша) и а. ансари (иран-сша) — первая женщина — космическая туристка."
2006-09-21,,Конфликт россии и японии вокруг проекта «сахалин-2».
2006-09-22,,С космодрома утиноура с помощью ракеты-носителя m-v запущен японский научный спутник hinode для исследования в области физики солнца.
2006-09-28,,"В санкт-петербурге прошла церемония перезахоронения праха императрицы марии фёдоровны, матери последнего русского императора николая ii. было исполнено её желание быть похороненной рядом с мужем александром iii в великокняжеской усыпальнице петропавловской крепости."
2006-09-29,,"Приземление космического корабля Союз ТМА-8. Экипаж посадки — П. В. Виноградов, Д. Уильямс (США) и А. Ансари (Иран-США)."
2006-09-29,,"Над Амазонией столкнулись самолёты Boeing 737-8EH бразильской авиакомпании Gol Transportes Aéreos и частный самолёт Embraer EMB-135BJ Legacy 600 авиакомпании ExcelAire, погибли 154 человека. На тот момент это была крупнейшая авиакатастрофа в Бразилии и в истории Boeing 737."
2006-10-02,,Грузия освободила арестованных российских офицеров.
2006-10-02,,Нобелевская премия по медицине за 2006 год присуждена Эндрю Файеру и Крейгу Мелло.
2006-10-03,,Нобелевская премия по физике за 2006 год присуждена джону мэтеру и джорджу смуту.
2006-10-03,2006-10-04,"III форум приграничных регионов Казахстана и России (Уральск, Казахстан)."
2006-10-04,,Москва получила право на проведение Финала Лиги чемпионов УЕФА сезона 2007/2008. 21 мая 2008 года в финальном матче турнира встретились английские команды «Манчестер Юнайтед» и «Челси».
2006-10-04,,Нобелевская премия по химии за 2006 год присуждена Роджеру Корнбергу.
2006-10-07,,В москве в подъезде своего дома убита обозреватель «новой газеты» журналист анна политковская.
2006-10-08,,Второй единый день голосования.
2006-10-09,,Первое испытание северной кореей ядерного оружия.
2006-10-10,,Начало работы социальной сети ВКонтакте.
2006-10-10,,Президент РФ Владимир Путин и федеральный канцлер ФРГ Ангела Меркель открыли в Дрездене памятник Фёдору Михайловичу Достоевскому работы народного художника России Александра Рукавишникова.
2006-10-10,,"При посадке в норвежском аэропорту Стур произошла катастрофа самолёта BAe 146 компании Atlantic Airways, погибли 4 человека."
2006-10-11,,Русская википедия стала самой цитируемой энциклопедией в рунете.
2006-10-12,,"В дом в нью-йорке врезался самолёт, в котором находился бейсболист кори лайдл."
2006-10-13,,"Россиянин владимир крамник был провозглашён абсолютным чемпионом мира по шахматам после победы в матче над болгарином веселином топаловым. этим был положен конец расколу шахматного мира, произошедшему за 13 лет до этого (в 1993)."
2006-10-15,,Создана террористическая организация «исламское государство».
2006-10-17,,Официально подтверждено получение 118-го элемента.
2006-10-22,,Немецкий гонщик михаэль шумахер завершил профессиональную карьеру.
2006-10-24,,Внешторгбанк и Внешторгбанк 24 были переименованы в ВТБ и ВТБ-24.
2006-10-24,,Российский нападающий «Баффало Сейбрз» Максим Афиногенов признан лучшим игроком недели в НХЛ.
2006-10-24,,Стартовал очередной сезон баскетбольной Евролиги 2006/2007.
2006-10-30,,Российский нападающий «атланта трэшерз» илья ковальчук признан лучшим игроком недели в нхл.
2006-10-31,,В японии стартовал женский чемпионат мира по волейболу.
2006-11-05,,"Саддам хусейн, аввад хамид аль-бандар и барзан ибрагим ат-тикрити приговорены иракским трибуналом к смертной казни через повешение."
2006-11-08,,Microsoft официально завершила разработку ос windows vista и передала её своим «золотым партнёрам».
2006-11-11,,В продажу на территории японии поступила игровая консоль playstation 3.
2006-11-19,,Начало продаж игровой приставки nintendo wii на территории сша.
2006-12-10,,"117-й старт (sts-116) по программе спейс шаттл. 33-й полёт шаттла дискавери. экипаж — марк полански, уильям офелейн, роберт курбим, николас патрик, джоан хиггинботэм, кристер фуглесанг (швеция), сунита уильямс."
2006-12-30,,Казнён экс-президент ирака саддам хусейн.
2006-12-31,,Беларусь и «газпром» договорились о поставках газа по более высокой цене
